species,amazonensis.ref,amazonensis.reservoir,braziliensis.ref,braziliensis.reservoir,enriettii.ref,enriettii.reservoir,guyanensis.ref,guyanensis.reservoir,lainsoni.ref,lainsoni.reservoir,lindenbergi.ref,lindenbergi.reservoir,mexicana.ref,mexicana.reservoir,naiffi.ref,naiffi.reservoir,panamensis.ref,panamensis.reservoir,peruviana.ref,peruviana.reservoir,shawi.ref,shawi.reservoir,venezuelensis.ref,venezuelensis.reservoir,colombiensis.ref,colombiensis.reservoir,infantum.ref,infantum.reservoir
Equus caballus,,,10.1371/journal.pone.0093731; 10.1111/j.1863-2378.2008.01106.x; https://doi.org/10.1016/j.vetpar.2013.06.014,2,,,,,,,,,,,,,,,,,,,,,,,,
Eptesicus furinalis,,,,,,,,,,,,,,,,,,,,,,,,,,,2021,review
Eumops auripendulus,https://doi.org/10.1016/j.vetpar.2009.10.019,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Eumops glaucinus,https://doi.org/10.1016/j.vetpar.2009.10.019,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Eumops perotis,https://doi.org/10.1017/S0031182017001500[Opens in a new window],1,https://doi.org/10.1017/S0031182017001500[Opens in a new window],1,,,,,,,,,,,,,,,,,,,,,,,2021 review,1
Felis catus,,,https://pubmed.ncbi.nlm.nih.gov/32520088/,1,,,,,,,,,,,,,,,,,,,https://produccioncientificaluz.org/index.php/cientifica/article/view/14263,3,,,,
Galictis cuja,,,,,,,,,,,,,,,,,,,,,,,,,,,2021 review,1
Glossophaga commissarisi,,,https://doi.org/10.1016/j.actatropica.2013.07.004,1,,,,,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4309399/,1,,,,,,,,,,,,,,
Glossophaga soricina,https://doi.org/10.1016/j.vetpar.2009.10.019,1,https://doi.org/10.1016/j.actatropica.2013.07.004,1,,,,,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4309399/,1,,,,,,,,,,,,,10.1016/j.vetpar.2009.10.019,1
Gracilinanus agilis,,,https://academic.oup.com/trstmh/article/105/10/579/1904261?login=true#29323423,1,,,,,,,,,,,,,,,,,,,,,,,,
Gracilinanus marica,,,,,,,,,,,,,,,,,https://doi.org/10.1038/s41598-021-85763-9,1,,,,,,,,,,
Heteromys gaumeri,,,,,,,,,,,,,2021 review,1,,,,,,,,,,,,,,
Heteromys desmarestianus,,,,,,,,,,,,,10.1590/S0036-46652009000200006; https://www.scielo.br/pdf/rimtsp/v51n2/06.pdf,4,,,https://doi.org/10.4269/ajtmh.1977.26.1044,3,,,,,,,,,,
Holochilus sciureus,,,,,,,,,,,,,,,,,,,,,,,,,,,https://doi.org/10.1093/trstmh/trt062,1
Hydrochoerus hydrochaeris,,,,,,,,,,,,,,,,,,,,,,,,,,,2021 review,1
Lasiurus cinereus,,,https://doi.org/10.1016/j.ijppaw.2020.02.008,1,,,,,,,,,,,,,,,,,,,,,,,,
Leptonycteris curasoae,,,,,,,,,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5055336/pdf/pntd.0005004.pdf,1,,,,,,,,,,,,,,
Leopardus pardalis,,,,,,,,,,,,,,,,,,,,,,,,,,,2021 review,1
Liomys pictus,,,,,,,,,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5055336/pdf/pntd.0005004.pdf,1,,,,,,,,,,,,,,
Marmosa cinerea,https://www.sciencedirect.com/science/article/pii/0035920381901942; https://www.scielo.br/pdf/rimtsp/v51n2/06.pdf,3,,,,,,,,,,,,,,,,,,,,,,,,,,
